product_id,material_id,consumption_rate
P0001,M0017,1
P0001,M0035,18
P0001,M0133,1
P0001,M0107,1
P0001,M0051,18
P0001,M0134,1
P0001,M0002,20
P0001,M0050,1
P0001,M0003,19
P0001,M0038,1
P0001,M0085,16
P0001,M0139,1
P0001,M0096,17
P0001,M0048,15
P0001,M0047,1
P0001,M0007,1
P0001,M0001,14
P0001,M0014,18
P0001,M0009,9
P0001,M0092,2
P0001,M0046,1
P0001,M0024,1
P0001,M0126,1
P0001,M0132,17
P0001,M0045,1
P0001,M0115,12
P0001,M0130,14
P0001,M0104,10
P0001,M0086,17
P0001,M0114,1
P0001,M0076,1
P0001,M0056,1
P0001,M0117,1
P0001,M0082,1
P0001,M0075,17
P0001,M0140,10
P0001,M0136,1
P0001,M0147,1
P0001,M0093,1
P0001,M0027,1
P0001,M0025,5
P0001,M0143,1
P0001,M0094,1
P0001,M0145,1
P0001,M0106,1
P0001,M0053,1
P0001,M0018,1
P0001,M0071,17
P0001,M0144,5
P0001,M0102,4
P0001,M0089,1
P0001,M0072,15
P0001,M0122,1
P0001,M0128,10
P0001,M0110,7
P0002,M0130,16
P0002,M0003,9
P0002,M0056,10
P0002,M0050,11
P0002,M0070,4
P0002,M0041,20
P0002,M0127,19
P0002,M0009,1
P0002,M0043,1
P0002,M0048,1
P0002,M0004,1
P0002,M0073,1
P0002,M0125,9
P0002,M0091,7
P0002,M0108,1
P0002,M0040,1
P0002,M0025,1
P0002,M0036,7
P0002,M0113,1
P0002,M0001,20
P0002,M0049,15
P0002,M0051,10
P0002,M0029,19
P0002,M0139,2
P0002,M0131,2
P0002,M0136,16
P0002,M0022,2
P0002,M0141,17
P0002,M0015,4
P0002,M0098,18
P0002,M0079,2
P0002,M0067,5
P0002,M0149,4
P0002,M0011,20
P0002,M0017,20
P0002,M0007,1
P0002,M0097,1
P0002,M0134,1
P0002,M0107,1
P0002,M0085,1
P0002,M0088,11
P0002,M0026,13
P0002,M0032,7
P0002,M0084,3
P0002,M0046,3
P0002,M0005,1
P0002,M0047,1
P0002,M0111,16
P0002,M0075,20
P0002,M0148,18
P0002,M0104,1
P0002,M0129,11
P0003,M0069,3
P0003,M0126,11
P0003,M0047,1
P0003,M0101,1
P0003,M0124,9
P0003,M0079,9
P0003,M0049,10
P0003,M0086,19
P0003,M0096,7
P0003,M0121,9
P0003,M0147,1
P0003,M0088,1
P0003,M0142,9
P0003,M0072,16
P0003,M0139,12
P0003,M0117,7
P0003,M0150,1
P0003,M0085,3
P0003,M0112,3
P0003,M0027,5
P0003,M0008,1
P0003,M0033,17
P0003,M0031,5
P0003,M0014,4
P0003,M0035,7
P0003,M0089,15
P0003,M0034,18
P0003,M0011,1
P0003,M0134,3
P0004,M0068,14
P0004,M0018,13
P0004,M0098,1
P0004,M0070,1
P0004,M0084,1
P0004,M0093,3
P0004,M0087,1
P0004,M0035,8
P0005,M0033,1
P0005,M0105,8
P0005,M0130,5
P0005,M0045,1
P0005,M0043,3
P0005,M0128,1
P0005,M0052,1
P0005,M0119,1
P0005,M0070,1
P0005,M0090,17
P0005,M0037,4
P0005,M0132,2
P0005,M0124,1
P0005,M0107,1
P0006,M0024,11
P0006,M0114,1
P0006,M0008,1
P0006,M0106,5
P0006,M0126,2
P0006,M0019,6
P0006,M0064,5
P0006,M0043,9
P0006,M0109,1
P0006,M0100,5
P0006,M0056,9
P0006,M0039,1
P0006,M0066,11
P0006,M0081,6
P0006,M0086,1
P0006,M0141,1
P0006,M0121,1
P0006,M0026,1
P0006,M0046,8
P0006,M0014,6
P0006,M0131,1
P0006,M0092,18
P0006,M0061,4
P0006,M0097,1
P0006,M0052,1
P0006,M0134,16
P0006,M0104,2
P0007,M0015,9
P0007,M0140,3
P0007,M0009,9
P0007,M0092,7
P0007,M0105,4
P0007,M0089,17
P0007,M0074,3
P0007,M0122,11
P0007,M0106,1
P0007,M0059,19
P0007,M0070,3
P0007,M0146,4
P0007,M0032,1
P0007,M0077,9
P0007,M0141,1
P0007,M0133,1
P0007,M0101,11
P0007,M0041,11
P0007,M0024,9
P0009,M0056,5
P0009,M0138,1
P0009,M0102,14
P0009,M0114,18
P0009,M0106,1
P0009,M0127,2
P0009,M0140,14
P0009,M0011,15
P0009,M0043,1
P0009,M0075,9
P0009,M0036,13
P0009,M0107,1
P0009,M0068,1
P0009,M0058,8
P0009,M0115,16
P0009,M0063,20
P0009,M0131,16
P0009,M0082,6
P0009,M0097,20
P0009,M0066,11
P0009,M0071,14
P0009,M0086,16
P0009,M0148,9
P0010,M0064,3
P0010,M0026,4
P0010,M0106,1
P0010,M0040,9
P0010,M0113,1
P0010,M0056,14
P0010,M0143,12
P0010,M0146,1
P0010,M0078,3
P0010,M0139,1
P0010,M0027,6
P0010,M0073,1
P0010,M0141,10
P0010,M0072,1
P0010,M0115,19
P0010,M0062,17
P0010,M0092,1
P0010,M0140,17
P0010,M0094,1
P0010,M0102,1
P0010,M0107,1
P0010,M0135,3
P0010,M0100,18
P0010,M0114,10
P0010,M0012,8
P0010,M0086,1
P0010,M0017,1
P0010,M0006,1
P0010,M0070,10
P0010,M0046,10
P0010,M0003,9
P0010,M0028,9
P0010,M0063,3
P0010,M0081,9
P0010,M0014,1
P0010,M0024,1
P0010,M0023,7
P0010,M0045,20
P0010,M0037,1
P0010,M0150,20
P0010,M0049,1
P0010,M0033,9
P0010,M0147,4
P0010,M0047,2
