supplier_id,material_id,volume,time_unit,lead_time,unit_price
S0028,M0001,721512,yearly,4,0.1
S0006,M0002,131593,yearly,4,0.1
S0015,M0002,39916,yearly,4,0.1
S0028,M0002,331850,yearly,4,0.1
S0030,M0003,838102,yearly,4,0.1
S0006,M0004,18458,yearly,4,0.1
S0009,M0005,18458,yearly,4,0.1
S0024,M0006,21532,yearly,4,0.1
S0025,M0007,43626,yearly,4,0.1
S0022,M0008,27944,yearly,4,0.1
S0017,M0009,499247,yearly,4,0.1
S0016,M0011,691583,yearly,4,0.1
S0020,M0012,172256,yearly,4,0.1
S0004,M0014,102071,yearly,4,0.1
S0013,M0014,359433,yearly,4,0.1
S0025,M0014,149881,yearly,4,0.1
S0002,M0015,11451,yearly,4,0.1
S0025,M0015,24050,yearly,4,0.1
S0010,M0015,354,yearly,4,0.1
S0008,M0015,6129,yearly,4,0.1
S0015,M0015,32247,yearly,4,0.1
S0006,M0015,29113,yearly,4,0.1
S0016,M0015,12084,yearly,4,0.1
S0007,M0015,31489,yearly,4,0.1
S0023,M0015,46769,yearly,4,0.1
S0019,M0015,27371,yearly,4,0.1
S0012,M0015,30091,yearly,4,0.1
S0001,M0015,1624,yearly,4,0.1
S0003,M0015,16468,yearly,4,0.1
S0021,M0015,19004,yearly,4,0.1
S0026,M0015,14729,yearly,4,0.1
S0004,M0015,25130,yearly,4,0.1
S0003,M0017,415860,yearly,4,0.1
S0001,M0018,200980,yearly,4,0.1
S0004,M0019,75156,yearly,4,0.1
S0012,M0022,4728,yearly,4,0.1
S0027,M0022,1059,yearly,4,0.1
S0013,M0022,542,yearly,4,0.1
S0017,M0022,884,yearly,4,0.1
S0016,M0022,5117,yearly,4,0.1
S0003,M0022,5263,yearly,4,0.1
S0006,M0022,3543,yearly,4,0.1
S0026,M0022,4816,yearly,4,0.1
S0018,M0022,493,yearly,4,0.1
S0008,M0022,174,yearly,4,0.1
S0023,M0022,491,yearly,4,0.1
S0024,M0022,719,yearly,4,0.1
S0020,M0022,366,yearly,4,0.1
S0019,M0022,1780,yearly,4,0.1
S0002,M0022,1017,yearly,4,0.1
S0009,M0022,3229,yearly,4,0.1
S0021,M0022,390,yearly,4,0.1
S0011,M0022,2305,yearly,4,0.1
S0009,M0023,150724,yearly,4,0.1
S0023,M0024,124753,yearly,4,0.1
S0011,M0024,4673,yearly,4,0.1
S0003,M0024,36101,yearly,4,0.1
S0022,M0024,252390,yearly,4,0.1
S0007,M0024,18590,yearly,4,0.1
S0021,M0024,2255,yearly,4,0.1
S0009,M0025,144298,yearly,4,0.1
S0016,M0026,338608,yearly,4,0.1
S0001,M0027,231450,yearly,4,0.1
S0022,M0028,193788,yearly,4,0.1
S0029,M0029,350702,yearly,4,0.1
S0014,M0031,77090,yearly,4,0.1
S0016,M0032,157459,yearly,4,0.1
S0015,M0033,495174,yearly,4,0.1
S0009,M0034,277524,yearly,4,0.1
S0010,M0035,261,yearly,4,0.1
S0030,M0035,40784,yearly,4,0.1
S0029,M0035,1358,yearly,4,0.1
S0012,M0035,2777,yearly,4,0.1
S0001,M0035,12774,yearly,4,0.1
S0013,M0035,38429,yearly,4,0.1
S0011,M0035,3961,yearly,4,0.1
S0016,M0035,84620,yearly,4,0.1
S0026,M0035,3225,yearly,4,0.1
S0017,M0035,17090,yearly,4,0.1
S0015,M0035,71337,yearly,4,0.1
S0004,M0035,115989,yearly,4,0.1
S0003,M0035,12165,yearly,4,0.1
S0008,M0035,34675,yearly,4,0.1
S0024,M0035,35250,yearly,4,0.1
S0025,M0035,27810,yearly,4,0.1
S0005,M0035,25621,yearly,4,0.1
S0020,M0035,117769,yearly,4,0.1
S0018,M0035,21198,yearly,4,0.1
S0007,M0035,2061,yearly,4,0.1
S0018,M0036,395277,yearly,4,0.1
S0019,M0037,178652,yearly,4,0.1
S0018,M0038,25168,yearly,4,0.1
S0030,M0039,12526,yearly,4,0.1
S0004,M0040,212246,yearly,4,0.1
S0015,M0041,679943,yearly,4,0.1
S0011,M0043,269499,yearly,4,0.1
S0028,M0045,495088,yearly,4,0.1
S0019,M0046,396070,yearly,4,0.1
S0022,M0047,102108,yearly,4,0.1
S0017,M0048,40441,yearly,4,0.1
S0014,M0048,214,yearly,4,0.1
S0008,M0048,11511,yearly,4,0.1
S0007,M0048,72211,yearly,4,0.1
S0013,M0048,25675,yearly,4,0.1
S0002,M0048,55896,yearly,4,0.1
S0012,M0048,26847,yearly,4,0.1
S0020,M0048,50024,yearly,4,0.1
S0004,M0048,61210,yearly,4,0.1
S0011,M0048,11198,yearly,4,0.1
S0028,M0048,3793,yearly,4,0.1
S0005,M0048,36957,yearly,4,0.1
S0015,M0049,452582,yearly,4,0.1
S0022,M0050,228206,yearly,4,0.1
S0009,M0051,48082,yearly,4,0.1
S0017,M0051,76608,yearly,4,0.1
S0030,M0051,234632,yearly,4,0.1
S0010,M0051,186748,yearly,4,0.1
S0011,M0051,91528,yearly,4,0.1
S0021,M0052,51806,yearly,4,0.1
S0024,M0053,25168,yearly,4,0.1
S0016,M0056,726265,yearly,4,0.1
S0018,M0058,12136,yearly,4,0.1
S0001,M0058,29287,yearly,4,0.1
S0028,M0058,85,yearly,4,0.1
S0014,M0058,4729,yearly,4,0.1
S0011,M0058,11208,yearly,4,0.1
S0022,M0058,6315,yearly,4,0.1
S0003,M0058,15331,yearly,4,0.1
S0004,M0058,38725,yearly,4,0.1
S0029,M0058,4328,yearly,4,0.1
S0006,M0058,25014,yearly,4,0.1
S0012,M0058,9308,yearly,4,0.1
S0020,M0058,7023,yearly,4,0.1
S0005,M0058,247,yearly,4,0.1
S0010,M0059,536807,yearly,4,0.1
S0020,M0061,50104,yearly,4,0.1
S0004,M0062,366044,yearly,4,0.1
S0011,M0063,473936,yearly,4,0.1
S0025,M0064,12363,yearly,4,0.1
S0015,M0064,33873,yearly,4,0.1
S0030,M0064,70542,yearly,4,0.1
S0012,M0064,169,yearly,4,0.1
S0024,M0064,4963,yearly,4,0.1
S0009,M0064,4314,yearly,4,0.1
S0022,M0064,830,yearly,4,0.1
S0013,M0064,174,yearly,4,0.1
S0014,M0066,362923,yearly,4,0.1
S0012,M0067,7427,yearly,4,0.1
S0004,M0067,5306,yearly,4,0.1
S0002,M0067,2568,yearly,4,0.1
S0015,M0067,10026,yearly,4,0.1
S0027,M0067,1043,yearly,4,0.1
S0010,M0067,1859,yearly,4,0.1
S0007,M0067,2288,yearly,4,0.1
S0003,M0067,1443,yearly,4,0.1
S0024,M0067,609,yearly,4,0.1
S0029,M0067,13501,yearly,4,0.1
S0011,M0067,611,yearly,4,0.1
S0022,M0067,7618,yearly,4,0.1
S0028,M0067,849,yearly,4,0.1
S0013,M0067,71,yearly,4,0.1
S0017,M0067,5393,yearly,4,0.1
S0001,M0067,15726,yearly,4,0.1
S0030,M0067,13033,yearly,4,0.1
S0016,M0067,2735,yearly,4,0.1
S0009,M0067,182,yearly,4,0.1
S0028,M0068,5574,yearly,4,0.1
S0024,M0068,16132,yearly,4,0.1
S0023,M0068,57580,yearly,4,0.1
S0025,M0068,1561,yearly,4,0.1
S0018,M0068,1618,yearly,4,0.1
S0027,M0068,17890,yearly,4,0.1
S0004,M0068,4712,yearly,4,0.1
S0026,M0068,26853,yearly,4,0.1
S0021,M0068,15561,yearly,4,0.1
S0016,M0068,20334,yearly,4,0.1
S0014,M0068,2115,yearly,4,0.1
S0020,M0068,1632,yearly,4,0.1
S0017,M0068,18184,yearly,4,0.1
S0008,M0068,9771,yearly,4,0.1
S0010,M0068,1691,yearly,4,0.1
S0003,M0068,8594,yearly,4,0.1
S0025,M0069,46254,yearly,4,0.1
S0025,M0070,426715,yearly,4,0.1
S0004,M0071,57552,yearly,4,0.1
S0021,M0071,105952,yearly,4,0.1
S0018,M0071,18774,yearly,4,0.1
S0022,M0071,35305,yearly,4,0.1
S0011,M0071,49422,yearly,4,0.1
S0001,M0071,42421,yearly,4,0.1
S0019,M0071,12380,yearly,4,0.1
S0023,M0071,26168,yearly,4,0.1
S0024,M0071,13409,yearly,4,0.1
S0003,M0071,87856,yearly,4,0.1
S0006,M0071,203059,yearly,4,0.1
S0030,M0071,3236,yearly,4,0.1
S0010,M0071,58852,yearly,4,0.1
S0005,M0072,645740,yearly,4,0.1
S0021,M0073,39990,yearly,4,0.1
S0020,M0074,2393,yearly,4,0.1
S0017,M0074,7312,yearly,4,0.1
S0023,M0074,1228,yearly,4,0.1
S0007,M0074,4814,yearly,4,0.1
S0026,M0074,19757,yearly,4,0.1
S0015,M0074,2581,yearly,4,0.1
S0019,M0074,11001,yearly,4,0.1
S0013,M0074,791,yearly,4,0.1
S0025,M0074,1932,yearly,4,0.1
S0016,M0074,1680,yearly,4,0.1
S0004,M0074,11698,yearly,4,0.1
S0022,M0074,8342,yearly,4,0.1
S0005,M0074,3309,yearly,4,0.1
S0018,M0074,2019,yearly,4,0.1
S0001,M0074,3562,yearly,4,0.1
S0028,M0074,2340,yearly,4,0.1
S0027,M0075,981219,yearly,4,0.1
S0006,M0076,25168,yearly,4,0.1
S0022,M0077,9479,yearly,4,0.1
S0006,M0077,48300,yearly,4,0.1
S0002,M0077,7143,yearly,4,0.1
S0029,M0077,32395,yearly,4,0.1
S0011,M0077,28329,yearly,4,0.1
S0012,M0077,19844,yearly,4,0.1
S0008,M0077,6571,yearly,4,0.1
S0007,M0077,42162,yearly,4,0.1
S0027,M0077,5576,yearly,4,0.1
S0020,M0077,13617,yearly,4,0.1
S0025,M0077,2586,yearly,4,0.1
S0003,M0077,4244,yearly,4,0.1
S0019,M0077,9111,yearly,4,0.1
S0014,M0077,15361,yearly,4,0.1
S0030,M0077,9561,yearly,4,0.1
S0009,M0078,64596,yearly,4,0.1
S0014,M0079,6323,yearly,4,0.1
S0013,M0079,114365,yearly,4,0.1
S0018,M0079,4887,yearly,4,0.1
S0010,M0079,22364,yearly,4,0.1
S0022,M0079,27740,yearly,4,0.1
S0001,M0081,268944,yearly,4,0.1
S0005,M0082,147970,yearly,4,0.1
S0010,M0084,68898,yearly,4,0.1
S0014,M0085,467400,yearly,4,0.1
S0020,M0086,43445,yearly,4,0.1
S0014,M0086,92193,yearly,4,0.1
S0029,M0086,31204,yearly,4,0.1
S0003,M0086,162934,yearly,4,0.1
S0021,M0086,64095,yearly,4,0.1
S0012,M0086,8128,yearly,4,0.1
S0018,M0086,13031,yearly,4,0.1
S0016,M0086,4080,yearly,4,0.1
S0010,M0086,14178,yearly,4,0.1
S0027,M0086,41085,yearly,4,0.1
S0019,M0086,13800,yearly,4,0.1
S0011,M0086,109651,yearly,4,0.1
S0004,M0086,9589,yearly,4,0.1
S0026,M0086,37881,yearly,4,0.1
S0009,M0086,77830,yearly,4,0.1
S0015,M0086,110625,yearly,4,0.1
S0001,M0086,178487,yearly,4,0.1
S0025,M0086,70070,yearly,4,0.1
S0011,M0087,1620,yearly,4,0.1
S0022,M0087,1890,yearly,4,0.1
S0013,M0087,2191,yearly,4,0.1
S0006,M0087,1880,yearly,4,0.1
S0009,M0087,371,yearly,4,0.1
S0024,M0087,5067,yearly,4,0.1
S0002,M0087,505,yearly,4,0.1
S0029,M0088,218456,yearly,4,0.1
S0002,M0089,736739,yearly,4,0.1
S0003,M0090,667760,yearly,4,0.1
S0009,M0091,129206,yearly,4,0.1
S0004,M0092,495107,yearly,4,0.1
S0005,M0093,65740,yearly,4,0.1
S0028,M0094,46700,yearly,4,0.1
S0019,M0096,535782,yearly,4,0.1
S0027,M0097,440324,yearly,4,0.1
S0025,M0098,164316,yearly,4,0.1
S0028,M0098,53086,yearly,4,0.1
S0014,M0098,128366,yearly,4,0.1
S0024,M0100,450206,yearly,4,0.1
S0011,M0101,326201,yearly,4,0.1
S0011,M0102,408742,yearly,4,0.1
S0022,M0104,295190,yearly,4,0.1
S0012,M0105,427252,yearly,4,0.1
S0018,M0106,158050,yearly,4,0.1
S0017,M0107,942,yearly,4,0.1
S0030,M0107,3255,yearly,4,0.1
S0028,M0107,19139,yearly,4,0.1
S0006,M0107,44106,yearly,4,0.1
S0025,M0107,1068,yearly,4,0.1
S0012,M0107,2248,yearly,4,0.1
S0024,M0107,656,yearly,4,0.1
S0010,M0107,6816,yearly,4,0.1
S0029,M0107,5182,yearly,4,0.1
S0018,M0107,14400,yearly,4,0.1
S0023,M0107,7868,yearly,4,0.1
S0011,M0107,9911,yearly,4,0.1
S0013,M0107,4131,yearly,4,0.1
S0001,M0107,2835,yearly,4,0.1
S0016,M0107,2347,yearly,4,0.1
S0012,M0108,18458,yearly,4,0.1
S0006,M0109,51,yearly,4,0.1
S0029,M0109,498,yearly,4,0.1
S0012,M0109,737,yearly,4,0.1
S0016,M0109,3214,yearly,4,0.1
S0005,M0109,88,yearly,4,0.1
S0019,M0109,291,yearly,4,0.1
S0018,M0109,101,yearly,4,0.1
S0023,M0109,451,yearly,4,0.1
S0009,M0109,310,yearly,4,0.1
S0024,M0109,655,yearly,4,0.1
S0025,M0109,390,yearly,4,0.1
S0021,M0109,2397,yearly,4,0.1
S0027,M0109,1420,yearly,4,0.1
S0003,M0109,1796,yearly,4,0.1
S0010,M0109,126,yearly,4,0.1
S0027,M0110,176176,yearly,4,0.1
S0009,M0111,295328,yearly,4,0.1
S0024,M0112,46254,yearly,4,0.1
S0016,M0113,23,yearly,4,0.1
S0001,M0113,609,yearly,4,0.1
S0013,M0113,17628,yearly,4,0.1
S0003,M0113,250,yearly,4,0.1
S0029,M0113,1320,yearly,4,0.1
S0023,M0113,3059,yearly,4,0.1
S0015,M0113,256,yearly,4,0.1
S0021,M0113,2128,yearly,4,0.1
S0012,M0113,1312,yearly,4,0.1
S0008,M0113,423,yearly,4,0.1
S0018,M0113,4133,yearly,4,0.1
S0004,M0113,393,yearly,4,0.1
S0020,M0113,1998,yearly,4,0.1
S0010,M0113,2647,yearly,4,0.1
S0009,M0113,1621,yearly,4,0.1
S0024,M0113,1943,yearly,4,0.1
S0019,M0113,248,yearly,4,0.1
S0003,M0114,621420,yearly,4,0.1
S0021,M0115,1038596,yearly,4,0.1
S0023,M0117,133094,yearly,4,0.1
S0004,M0119,39280,yearly,4,0.1
S0010,M0121,151288,yearly,4,0.1
S0028,M0122,335951,yearly,4,0.1
S0018,M0124,178042,yearly,4,0.1
S0026,M0125,166122,yearly,4,0.1
S0006,M0126,219818,yearly,4,0.1
S0029,M0127,391636,yearly,4,0.1
S0022,M0128,290960,yearly,4,0.1
S0027,M0129,203038,yearly,4,0.1
S0006,M0130,64538,yearly,4,0.1
S0024,M0130,777870,yearly,4,0.1
S0010,M0130,1671,yearly,4,0.1
S0004,M0131,28291,yearly,4,0.1
S0009,M0131,264,yearly,4,0.1
S0010,M0131,21386,yearly,4,0.1
S0003,M0131,99234,yearly,4,0.1
S0019,M0131,3528,yearly,4,0.1
S0014,M0131,6053,yearly,4,0.1
S0022,M0131,65756,yearly,4,0.1
S0028,M0131,39229,yearly,4,0.1
S0006,M0131,37469,yearly,4,0.1
S0021,M0131,25423,yearly,4,0.1
S0017,M0131,50277,yearly,4,0.1
S0015,M0132,27078,yearly,4,0.1
S0018,M0132,63383,yearly,4,0.1
S0014,M0132,29620,yearly,4,0.1
S0028,M0132,47456,yearly,4,0.1
S0013,M0132,11050,yearly,4,0.1
S0001,M0132,5034,yearly,4,0.1
S0019,M0132,167619,yearly,4,0.1
S0003,M0132,73202,yearly,4,0.1
S0012,M0132,14575,yearly,4,0.1
S0011,M0132,38239,yearly,4,0.1
S0004,M0132,20743,yearly,4,0.1
S0029,M0132,8417,yearly,4,0.1
S0003,M0133,53421,yearly,4,0.1
S0029,M0134,290296,yearly,4,0.1
S0008,M0135,12661,yearly,4,0.1
S0018,M0135,841,yearly,4,0.1
S0014,M0135,51094,yearly,4,0.1
S0027,M0136,2509,yearly,4,0.1
S0011,M0136,15127,yearly,4,0.1
S0015,M0136,21499,yearly,4,0.1
S0003,M0136,2753,yearly,4,0.1
S0018,M0136,8916,yearly,4,0.1
S0008,M0136,1542,yearly,4,0.1
S0005,M0136,15765,yearly,4,0.1
S0025,M0136,22201,yearly,4,0.1
S0012,M0136,20194,yearly,4,0.1
S0026,M0136,35527,yearly,4,0.1
S0013,M0136,5676,yearly,4,0.1
S0019,M0136,20345,yearly,4,0.1
S0006,M0136,7621,yearly,4,0.1
S0020,M0136,1965,yearly,4,0.1
S0010,M0136,7695,yearly,4,0.1
S0001,M0136,1564,yearly,4,0.1
S0002,M0136,67279,yearly,4,0.1
S0021,M0136,27447,yearly,4,0.1
S0016,M0136,2259,yearly,4,0.1
S0017,M0136,32607,yearly,4,0.1
S0016,M0138,20467,yearly,4,0.1
S0009,M0139,268632,yearly,4,0.1
S0004,M0140,989021,yearly,4,0.1
S0009,M0141,569885,yearly,4,0.1
S0012,M0142,138762,yearly,4,0.1
S0023,M0143,283552,yearly,4,0.1
S0012,M0144,125840,yearly,4,0.1
S0002,M0145,4623,yearly,4,0.1
S0009,M0145,1126,yearly,4,0.1
S0011,M0145,2368,yearly,4,0.1
S0025,M0145,1287,yearly,4,0.1
S0019,M0145,98,yearly,4,0.1
S0004,M0145,161,yearly,4,0.1
S0029,M0145,542,yearly,4,0.1
S0016,M0145,7673,yearly,4,0.1
S0024,M0145,2261,yearly,4,0.1
S0008,M0145,599,yearly,4,0.1
S0010,M0145,2352,yearly,4,0.1
S0022,M0145,2079,yearly,4,0.1
S0007,M0146,134544,yearly,4,0.1
S0016,M0147,126714,yearly,4,0.1
S0003,M0148,516447,yearly,4,0.1
S0019,M0149,467,yearly,4,0.1
S0014,M0149,1000,yearly,4,0.1
S0029,M0149,28694,yearly,4,0.1
S0025,M0149,7591,yearly,4,0.1
S0010,M0149,30944,yearly,4,0.1
S0008,M0149,1164,yearly,4,0.1
S0023,M0149,719,yearly,4,0.1
S0018,M0149,701,yearly,4,0.1
S0001,M0149,1588,yearly,4,0.1
S0013,M0149,963,yearly,4,0.1
S0017,M0150,446058,yearly,4,0.1
