customer_id,product_id,volume,time_unit,expected_lead_time,unit_price
C0001,P0007,2166,yearly,4,2
C0001,P0004,5897,yearly,4,2
C0001,P0002,7169,yearly,4,2
C0001,P0001,7506,yearly,4,2
C0002,P0001,1462,yearly,4,2
C0002,P0003,3638,yearly,4,2
C0002,P0009,2287,yearly,4,2
C0002,P0005,8046,yearly,4,2
C0003,P0005,5049,yearly,4,2
C0003,P0010,8895,yearly,4,2
C0003,P0009,3228,yearly,4,2
C0003,P0006,7325,yearly,4,2
C0004,P0001,2564,yearly,4,2
C0005,P0010,6523,yearly,4,2
C0005,P0005,5031,yearly,4,2
C0005,P0007,9601,yearly,4,2
C0005,P0001,6563,yearly,4,2
C0006,P0007,4121,yearly,4,2
C0007,P0001,7073,yearly,4,2
C0007,P0010,2776,yearly,4,2
C0007,P0005,7476,yearly,4,2
C0007,P0007,3474,yearly,4,2
C0008,P0002,2461,yearly,4,2
C0009,P0003,5259,yearly,4,2
C0010,P0004,3501,yearly,4,2
C0010,P0005,8990,yearly,4,2
C0011,P0009,6862,yearly,4,2
C0012,P0006,5201,yearly,4,2
C0012,P0010,3338,yearly,4,2
C0012,P0009,1982,yearly,4,2
C0012,P0007,8891,yearly,4,2
C0013,P0005,4688,yearly,4,2
C0013,P0002,4727,yearly,4,2
C0013,P0003,6521,yearly,4,2
C0014,P0004,4126,yearly,4,2
C0014,P0002,4101,yearly,4,2
C0015,P0009,6108,yearly,4,2
